Nombre;Descrpcion;Ubicacion;Tipo de comida;Precio;Valoraciones;Visitado
Taberna el Pimiento Verde;Taberna que ofrece platos tradicionales de la cocina vasca y española,destacando por sus pimientos verdes y otros platos típicos en un ambiente rústico.;Varias ubicaciones en Madrid,incluyendo el Barrio de Salamanca;Vasca/Española;20-30€;4.4/5;Sí
Hype;Restaurante moderno que ofrece una fusión de cocinas internacionales en un ambiente chic y contemporáneo,ideal para cenas y cócteles.;Barrio de Chueca;Fusión Internacional;20-30€;4.3/5;Sí
El Gordito;Restaurante especializado en cocina española tradicional,conocido por sus generosas raciones y ambiente familiar.;Barrio de La Latina
Falafelería;Local especializado en falafel y otros platos de la cocina de Oriente Medio,ofreciendo opciones vegetarianas y veganas en un ambiente informal.;Barrio de Malasaña;Oriente Medio/Vegetariana;<10€;4.5/5;Sí
Osom;Cafetería y brunch que ofrece una variedad de platos saludables y opciones de desayuno todo el día en un ambiente moderno y acogedor.;Barrio de Chamberí;Brunch/Saludable;10-20€;4.6/5;Sí
Toma Café;Cafetería especializada en café de especialidad,ofreciendo también repostería artesanal y opciones de desayuno en un ambiente hipster.;Barrio de Malasaña;Cafetería;10-20€;
Focacciamo;Especializados en focaccias artesanales de alta calidad,ofrecen una variedad de opciones que combinan ingredientes frescos y sabores auténticos italianos.;Calle San Bernardo 29,Madrid;Italiana
Farah;Restaurante que trae la cocina del Mediterráneo oriental al barrio de La Latina,ofreciendo platos que combinan tradición y modernidad en un ambiente acogedor.;Barrio de La Latina,Madrid;Mediterráneo Oriental;20-30€;4.6/5;Sí
Chino Santodomingo;Restaurante chino que ofrece una amplia variedad de platos tradicionales en un ambiente sencillo y acogedor.;Barrio de Salamanca,Madrid;China;10-20€;4.2/5;Sí
Familia Oso;Restaurante familiar que ofrece cocina tradicional española con un toque moderno,destacando por sus platos caseros y ambiente acogedor.;Barrio de Chamberí,Madrid;Española;20-30€;4.4/5;Sí
Basmati;Restaurante especializado en cocina india,ofreciendo una amplia variedad de platos tradicionales llenos de sabor y especias auténticas.;Barrio de Salamanca,Madrid;India;20-30€;4.3/5;Sí
Juracha;Restaurante que fusiona la cocina mediterránea con toques de autor,ofreciendo platos creativos en un ambiente moderno y elegante.;Barrio de Malasaña,Madrid;Fusión Mediterránea;20-30€;4.5/5;Sí
Bangalore Modern Indian Cuisine;Restaurante que ofrece una visión moderna de la cocina india,combinando sabores tradicionales con presentaciones contemporáneas en un ambiente elegante.;Calle de Diego de León 63,Madrid;India Moderna;20-30€;4.6/5;Sí
Watts;Bar y restaurante que combina una oferta gastronómica variada con una amplia selección de cócteles,ideal para cenas informales y noches de música en vivo.;Barrio de Malasaña,Madrid;Internacional;10-20€;4.3/5;Sí
Chez Pepito;Bistró francés que ofrece platos tradicionales de la cocina gala en un ambiente íntimo y acogedor
Vira Vira;Restaurante que ofrece una experiencia culinaria única,combinando sabores tradicionales con técnicas modernas en un ambiente acogedor.;Barrio de Chueca,Madrid
80 Grados;Restaurante que ofrece platos de alta cocina en formato de tapas y raciones,ideales para compartir en un ambiente moderno y desenfadado.;Varias ubicaciones en Madrid
Lateral;Cadena de restaurantes que ofrece una amplia variedad de pinchos y raciones,combinando tradición y modernidad en un ambiente elegante.;Varias ubicaciones en Madrid
Chino Arroz Chueca;Restaurante chino conocido por sus platos tradicionales y auténticos,ofreciendo una experiencia gastronómica genuina en el corazón de Chueca.;Calle de Barbieri,4,Madrid;China;10-20€;4.0/5;Sí
Winnie the Pooh;Restaurante chino que destaca por sus platos abundantes y auténticos,siguiendo recetas tradicionales que evocan la cocina casera.;Calle de San Bernardino,6,Madrid;China;<10€;4.1/5;Sí
Shangrila Dimsum Bar;Restaurante especializado en dim sum y platos tradicionales chinos,ofreciendo una experiencia culinaria auténtica en un ambiente moderno.;Calle de Leganitos,26,Madrid;China (Dim Sum);10-20€;4.3/5;Sí
Milwaukee Burger;Restaurante especializado en hamburguesas al estilo de Milwaukee,conocidas como “butter burgers”,donde las hamburguesas se cocinan con mantequilla para realzar su sabor.;Calle de Manuela Malasaña,9,28004 Madrid;Hamburguesas americanas;€;4.5/5;Sí
Mama Uma;Restaurante que ofrece una experiencia culinaria única,fusionando sabores tradicionales con técnicas modernas en un ambiente acogedor.;Calle de San Bernardo,85,28015 Madrid;F
Pez Tortilla;Bar especializado en tortillas de patatas poco cuajadas y croquetas variadas,ofreciendo una experiencia gastronómica informal y de calidad.;Varias ubicaciones en Madrid
La Consentida de Doré;Establecimiento conocido por sus Gildas exquisitas,fusionando ingredientes de manera auténtica para
